Layer index,PC1,PC2,Grid x,Grid y,Run index
0,-0.1939876947928688,0.13794538033038017,1,0,29
0,0.2169469240450229,-0.07960540376249908,1,1,29
0,-0.1733037591089356,0.04794540471929768,1,2,29
0,0.20190319076981833,-0.027256576174832705,2,0,29
0,-0.22301266829728955,-0.07679215237191309,2,1,29
0,0.198764143610986,0.09978109073148861,2,2,29
0,-0.21948094736427856,-0.06918717158357468,0,0,30
0,0.2081150408051459,-0.21436650225072254,0,1,30
0,-0.153162141059686,-0.13905534889906748,0,2,30
0,0.2410974032060738,0.03126318499130042,1,0,30
0,-0.17894571717973082,-0.16070710149844786,1,1,30
0,0.19541978429185905,0.10719320186653597,1,2,30
0,-0.2170828299156305,-0.17790139488507126,2,0,30
0,0.15937299272873115,-0.06806818824256645,2,1,30
0,-0.20401111076369194,0.18262639257824656,2,2,30
0,0.22437629764152153,0.16035689335789463,0,0,31
0,-0.21942259406869574,0.13322327026013295,0,1,31
0,0.22039637639383947,0.15655097548118604,0,2,31
0,-0.22149219435100015,-0.14404752112053237,1,0,31
0,0.20099599899667894,0.0553920791613108,1,1,31
0,-0.21553986689346097,0.015891417801779696,1,2,31
0,0.2080590752172897,0.034806265292755316,2,0,31
0,-0.19646752631576359,0.10343317681545844,2,1,31
0,0.22641934912505512,0.06565164965176547,2,2,31
0,0.215866640418601,0.047829552711167386,0,0,32
0,-0.2013520974851508,-0.027619514489767297,0,1,32
0,0.18943010520659878,-0.09760715313076945,0,2,32
0,-0.20498535767022547,0.12165204988677031,1,0,32
0,0.2152701440939691,0.11837267763375554,1,1,32
0,-0.24077107903703351,-0.13903895481276737,1,2,32
0,0.2136147629174125,-0.002058620382573131,2,0,32
0,-0.22927174610875514,-0.09654242709374919,2,1,32
0,0.20790264039493508,-0.05218913206984322,2,2,32
0,0.20923129232541587,-0.056466130979481804,0,0,33
0,-0.19390378531997224,-0.09033693650869025,0,1,33
0,0.18142116417468798,-0.005848241192725255,0,2,33
0,-0.18604913918705318,-0.00020614626523167534,1,0,33
0,0.23178183074329978,-0.15780287846095326,1,1,33
0,-0.22130505804641182,-0.05038854922569357,1,2,33
0,0.19405899092019507,-0.06471639324916964,2,0,33
0,-0.20184305515369405,-0.15374191651421024,2,1,33
0,0.22744059247407578,0.1710843046584297,2,2,33
0,0.22297594446614954,0.1288116702481178,0,0,34
0,-0.21031932726189556,-0.028615207277229642,0,1,34
0,0.21691648793287976,0.20812678581347055,0,2,34
0,-0.20367901436521924,0.01626662882615573,1,0,34
0,0.22264042436447765,-0.18520801195542255,1,1,34
0,-0.22009413274348225,-0.0005451057207105672,1,2,34
0,0.15113425254192414,0.062135935500505744,2,0,34
0,-0.20641515285483095,-0.03037663235434341,2,1,34
0,0.19537160406449805,0.07512482381462339,2,2,34
0,-0.20645187080321215,0.14127918363495523,0,0,35
0,0.2203547867543135,-0.1768682522419831,0,1,35
0,-0.20840597836592517,-0.08682175234475516,0,2,35
0,0.12532803132484105,-0.14584238186008985,1,0,35
0,-0.22731112878660617,0.11601988323924067,1,1,35
0,0.16987294901844915,0.13301492550629435,1,2,35
0,-0.1789239158109644,-0.0301256575614485,2,0,35
0,0.23812215591557628,0.0060261281725463725,2,1,35
0,-0.2180559792209102,-0.1612477957262117,2,2,35
0,-0.17746277564431548,-0.14951441238496055,0,0,36
0,0.24586694467679018,0.11639249803157571,0,1,36
0,-0.20996582155668592,0.11451340421092344,0,2,36
0,0.14449049231315864,-0.04924840001712852,1,0,36
0,-0.1999841906557188,0.16336716809417667,1,1,36
0,0.22515764932538257,-0.14786864831198393,1,2,36
0,-0.06843792632245425,-0.1559316153277179,2,0,36
0,0.20285343360307873,-0.03622380173588126,2,1,36
0,-0.21492654338948977,0.01494716450186648,2,2,36
0,0.21678320563925857,0.1901334475137238,0,0,37
0,-0.21655971611917255,0.11372552158227002,0,1,37
0,0.17176370990975678,-0.06315513900676525,0,2,37
0,-0.24376392530640628,-0.00018262073891667214,1,0,37
0,0.19929099348694332,-0.07912702909770632,1,1,37
0,-0.1881827136164863,0.04743026564103137,1,2,37
0,0.19977385381556617,0.06029284367820162,2,0,37
0,-0.20833798151115038,-0.09779372007019818,2,1,37
0,0.1995723872999798,-0.044678702410922005,2,2,37
0,0.194678153669619,0.11078267353219125,0,0,38
0,-0.23456980431562746,0.14546417927682243,0,1,38
0,0.20443266015188694,-0.11165738754815878,0,2,38
0,-0.19696312154098516,-0.15271628440314755,1,0,38
0,0.21092810060529127,-0.18284366833980872,1,1,38
0,-0.19819259843396794,0.12692256972082003,1,2,38
0,0.17234929380501243,-0.07281203691472711,2,0,38
0,-0.23333343333588036,-0.11308918843529357,2,1,38
