PC1,PC2,series,Point type
-0.044204968959093094,-0.25020116567611694,Health,Background
0.01619502529501915,-0.03596797212958336,Health,Background
-0.13885948061943054,0.1078435406088829,Health,Background
-0.14619141817092896,-0.08463263511657715,Health,Background
-0.0055765993893146515,-0.03736349567770958,Health,Background
-0.027405165135860443,-0.13003334403038025,Health,Background
-0.10050931572914124,-0.10448562353849411,Health,Background
-0.12178406119346619,-0.09724408388137817,Health,Background
-0.15220768749713898,0.008988134562969208,Health,Background
-0.04633722081780434,-0.24025815725326538,Health,Background
0.026189953088760376,-0.16442689299583435,Health,Background
-0.1566413789987564,0.010251142084598541,Health,Background
-0.02048880234360695,0.12451135367155075,Health,Background
0.11919501423835754,-0.1944417953491211,Health,Background
-0.08384808897972107,-0.09466366469860077,Health,Background
0.12349408864974976,-0.023931384086608887,Health,Background
0.09316439181566238,-0.16356214880943298,Health,Background
-0.12992854416370392,-0.18191367387771606,Health,Background
-0.10109086334705353,0.14311644434928894,Health,Background
0.043379634618759155,-0.034288112074136734,Health,Background
-0.03770448639988899,-0.12715581059455872,Health,Background
-0.11016744375228882,-0.011648368090391159,Health,Background
-0.0613333098590374,-0.21512487530708313,Health,Background
-0.23400108516216278,-0.02300107479095459,Health,Background
-0.11039526760578156,-0.10673816502094269,Health,Background
-0.10540919005870819,-0.07738732546567917,Health,Background
-0.0813494324684143,-0.17606085538864136,Health,Background
-0.10953277349472046,-0.10418277233839035,Health,Background
-0.23944039642810822,-0.194978266954422,Health,Background
-0.2167031317949295,-0.057185400277376175,Health,Background
-0.06195827201008797,-0.09948207437992096,Health,Background
-0.10823972523212433,-0.1535744071006775,Health,Background
0.006429074332118034,0.017463497817516327,Health,Background
-0.21584552526474,-0.11840797960758209,Health,Background
-0.04151223972439766,-0.09696537256240845,Health,Background
-0.06492601335048676,-0.10353495925664902,Health,Background
0.1028994470834732,-0.036398034542798996,Health,Background
-0.18932002782821655,-0.23027941584587097,Health,Background
-0.16660962998867035,0.053230635821819305,Health,Background
-0.21293018758296967,0.0771428719162941,Health,Background
-0.13091357052326202,-0.16551218926906586,Health,Background
0.10808460414409637,-0.08438848704099655,Health,Background
-0.12853069603443146,-0.0720944032073021,Health,Background
0.010854389518499374,-0.038007237017154694,Health,Background
-0.05790076032280922,-0.20373019576072693,Health,Background
0.01610758528113365,-0.11221575736999512,Health,Background
-0.06633679568767548,-0.17211566865444183,Health,Background
0.006287198513746262,-0.07308807224035263,Health,Background
-0.012028928846120834,-0.22958749532699585,Health,Background
-0.11965830624103546,-0.1064959168434143,Health,Background
-0.15743239223957062,-0.04478756710886955,Health,Background
-0.11319179832935333,-0.03631194308400154,Health,Background
-0.07470683753490448,-0.30975663661956787,Health,Background
0.054091647267341614,-0.05446713790297508,Health,Background
0.09599435329437256,-0.040994782000780106,Health,Background
-0.24591802060604095,0.021218478679656982,Health,Background
-0.017918985337018967,-0.4084419310092926,Health,Background
-0.01754705235362053,-0.03321874141693115,Health,Background
-0.13264231383800507,-0.11927565187215805,Health,Background
-0.044402461498975754,0.055386267602443695,Health,Background
-0.042646799236536026,-0.01644038036465645,Health,Background
-0.1734365075826645,-0.17063254117965698,Health,Background
-0.11642572283744812,-0.1524217426776886,Health,Background
-0.03555360063910484,-0.17741701006889343,Health,Background
0.03624015673995018,-0.16096097230911255,Health,Background
-0.08680751919746399,-0.0160810723900795,Health,Background
0.05671384930610657,-0.22989797592163086,Health,Background
-0.07348066568374634,-0.24164578318595886,Health,Background
-0.22138367593288422,-0.08643671870231628,Health,Background
-0.22707180678844452,-0.020782511681318283,Health,Background
-0.019446957856416702,-0.13204041123390198,Health,Background
-0.12665264308452606,-0.012463204562664032,Health,Background
-0.012157302349805832,-0.1658955216407776,Health,Background
0.041789621114730835,-0.20063632726669312,Health,Background
-0.0551845021545887,-0.050588611513376236,Health,Background
-0.052621494978666306,-0.06902516633272171,Health,Background
-0.1171104907989502,-0.00125165656208992,Health,Background
-0.01027994230389595,-0.10308310389518738,Health,Background
-0.10308384895324707,-0.2774037718772888,Health,Background
0.0799984559416771,-0.17351099848747253,Health,Background
-0.11120793223381042,-0.36024418473243713,Health,Background
-0.03592609241604805,-0.27112647891044617,Health,Background
-0.19701485335826874,-0.10669815540313721,Health,Background
-0.142370343208313,-0.17887592315673828,Health,Background
-0.18921515345573425,-0.15880858898162842,Health,Background
0.07190413773059845,-0.060331858694553375,Health,Background
-0.010192181915044785,-0.010374903678894043,Health,Background
0.10936474800109863,-0.06873905658721924,Health,Background
-0.0947224348783493,-0.06777255237102509,Health,Background
-0.082724928855896,-0.14995446801185608,Health,Background
-0.12230457365512848,-0.12133011221885681,Health,Background
-0.06049397960305214,-0.009730368852615356,Health,Background
-0.13649167120456696,-0.06372236460447311,Health,Background
-0.04774361476302147,-0.1012950986623764,Health,Background
-0.1726021021604538,0.25222864747047424,Health,Background
0.018803561106324196,-0.1991581916809082,Health,Background
0.007816335186362267,-0.015630364418029785,Health,Background
-0.18264718353748322,-0.034020327031612396,Health,Background
-0.07224491238594055,0.008865676820278168,Health,Background
-0.2086658775806427,0.1086530014872551,Health,Background
-0.22108526527881622,0.026956193149089813,Health,Background
-0.04037655517458916,-0.2396497130393982,Health,Background
-0.10390788316726685,-0.30786198377609253,Health,Background
-0.2359703928232193,-0.07231809198856354,Health,Background
-0.04221564158797264,-0.2461473047733307,Health,Background
-0.1757017821073532,0.032464124262332916,Health,Background
0.0353085920214653,-0.28355878591537476,Health,Background
-0.16622401773929596,-0.21944203972816467,Health,Background
0.04218164458870888,-0.0835556611418724,Health,Background
-0.036467913538217545,-0.19651973247528076,Health,Background
-0.029305070638656616,-0.07428159564733505,Health,Background
-0.025650817900896072,0.009910598397254944,Health,Background
-0.2274859994649887,-0.13923180103302002,Health,Background
-0.3007452189922333,0.016352340579032898,Health,Background
-0.07351095974445343,-0.11338047683238983,Health,Background
-0.04039571061730385,-0.05925653874874115,Health,Background
0.08012181520462036,-0.07732880860567093,Health,Background
0.10924988985061646,-0.15783438086509705,Health,Background
-0.0022103674709796906,-0.23121196031570435,Health,Background
-0.12546013295650482,-0.13469761610031128,Health,Background
-0.23021312057971954,-0.07572212815284729,Health,Background
-0.18369397521018982,-0.21076729893684387,Health,Background
-0.15144558250904083,-0.13053181767463684,Health,Background
0.019822504371404648,-0.11208512634038925,Health,Background
-0.004667636007070541,-0.1518455147743225,Health,Background
-0.15481965243816376,-0.21847417950630188,Health,Background
0.015361165627837181,-0.21061599254608154,Health,Background
-0.1497124880552292,-0.18591666221618652,Health,Background
-0.19677448272705078,-0.13768377900123596,Health,Background
-0.18244250118732452,-0.17164930701255798,Health,Background
0.039245717227458954,0.01095513254404068,Health,Background
-0.018346376717090607,-0.07296491414308548,Health,Background
0.05167156085371971,-0.14881232380867004,Health,Background
-0.012285374104976654,-0.09896776080131531,Health,Background
-0.14782322943210602,-0.09568377584218979,Health,Background
-0.0961906760931015,-0.20312511920928955,Health,Background
-0.045221369713544846,-0.21179354190826416,Health,Background
-0.14084650576114655,-0.056110672652721405,Health,Background
0.17203836143016815,-0.18794730305671692,Health,Background
-0.05727769806981087,-0.015888474881649017,Health,Background
-0.17901678383350372,-0.15056993067264557,Health,Background
0.09679624438285828,-0.1284429430961609,Health,Background
-0.16622401773929596,-0.21944203972816467,Health,Background
-0.061956409364938736,0.05437091737985611,Health,Background
-0.23097018897533417,-0.18078318238258362,Health,Background
0.04717520624399185,-0.14956757426261902,Health,Background
-0.18244250118732452,-0.17164930701255798,Health,Background
-0.17989711463451385,-0.16426900029182434,Health,Background
-0.15586891770362854,-0.23380720615386963,Health,Background
0.022304797545075417,-0.1130923181772232,Health,Background
-0.034162137657403946,-0.08547832816839218,Health,Background
-0.104765385389328,-0.1950107216835022,Health,Background
-0.15615154802799225,-0.02458900213241577,Health,Background
-0.063990518450737,-0.30681464076042175,Health,Background
-0.0704728364944458,-0.06789270043373108,Health,Background
-0.06877255439758301,-0.25637102127075195,Health,Background
-0.2513783574104309,-0.059281785041093826,Health,Background
0.013120058923959732,0.0656232163310051,Health,Background
0.028618067502975464,-0.04781828820705414,Health,Background
-0.1487080305814743,-0.1750289797782898,Health,Background
-0.15928532183170319,-0.028140582144260406,Health,Background
-0.11873440444469452,-0.1693378984928131,Health,Background
-0.07440522313117981,1.6734004020690918e-05,Health,Background
0.036318447440862656,-0.11046917736530304,Health,Background
0.03914119675755501,-0.12831714749336243,Health,Background
0.0643339529633522,-0.06965428590774536,Health,Background
-0.132899209856987,-0.12897442281246185,Health,Background
-0.09455162286758423,-0.3168048560619354,Health,Background
-0.0808844268321991,0.17944404482841492,Health,Background
-0.022768396884202957,-0.10108732432126999,Health,Background
0.026759061962366104,-0.03960081934928894,Health,Background
-0.11106552183628082,-0.1361507773399353,Health,Background
-0.1526930332183838,-0.025308433920145035,Health,Background
-0.13630561530590057,0.0728021040558815,Health,Background
-0.15769991278648376,-0.10963965207338333,Health,Background
-0.038129840046167374,-0.09198146313428879,Health,Background
0.05404091626405716,-0.08673757314682007,Health,Background
-0.13343916833400726,-0.12249237298965454,Health,Background
-0.12815187871456146,-0.2228136956691742,Health,Background
-0.15144558250904083,-0.13053181767463684,Health,Background
-0.16773758828639984,-0.052300065755844116,Health,Background
-0.1953659951686859,-0.13663077354431152,Health,Background
