Model,Grid distance,Representation distance
Our model,1,145.7873077392578
Our model,1,124.68765258789062
Our model,1,113.98780059814453
Our model,1,123.9876937866211
Our model,1,133.6146240234375
Our model,1,94.07833099365234
Our model,1,160.8782196044922
Our model,1,146.17800903320312
Our model,1,136.96890258789062
Our model,1,126.86419677734375
Our model,1,153.6876678466797
Our model,1,134.4748077392578
Our model,1,121.48077392578125
Our model,1,101.54940032958984
Our model,1,95.8479232788086
Our model,1,187.99363708496094
Our model,1,118.84135437011719
Our model,1,144.3875732421875
Our model,1,150.27581787109375
Our model,1,162.63906860351562
Our model,1,124.7115707397461
Our model,1,162.9958953857422
Our model,1,131.37396240234375
Our model,1,104.6071548461914
Our model,1,140.83848571777344
Our model,1,109.06137084960938
Our model,1,139.9656982421875
Our model,1,111.49667358398438
Our model,1,105.71437072753906
Our model,1,146.8338165283203
Our model,1,140.45220947265625
Our model,1,164.24447631835938
Our model,1,133.54083251953125
Our model,1,153.754638671875
Our model,1,153.40989685058594
Our model,1,104.39610290527344
Our model,1,154.7524871826172
Our model,1,150.1617431640625
Our model,1,98.97308349609375
Our model,1,135.1752166748047
Our model,1,131.82171630859375
Our model,1,372.80511474609375
Our model,1,363.33087158203125
Our model,1,121.38227081298828
Our model,1,104.91374206542969
Our model,1,119.42835235595703
Our model,1,121.80217742919922
Our model,1,123.06134033203125
Our model,1,116.58963775634766
Our model,1,117.94271850585938
Our model,1,99.55292510986328
Our model,1,128.6855926513672
Our model,1,126.48348999023438
Our model,1,152.06654357910156
Our model,1,160.79502868652344
Our model,1,128.0340576171875
Our model,1,121.93376922607422
Our model,1,142.82179260253906
Our model,1,135.3621368408203
Our model,1,129.3568572998047
Our model,1,124.13780212402344
Our model,1,125.59349060058594
Our model,1,105.62145233154297
Our model,1,175.1953582763672
Our model,1,167.67752075195312
Our model,1,127.53765869140625
Our model,1,133.18386840820312
Our model,1,112.38123321533203
Our model,1,136.158447265625
Our model,1,148.65321350097656
Our model,1,116.01690673828125
Our model,1,129.72866821289062
Our model,1,110.46815490722656
Our model,1,109.93113708496094
Our model,1,118.25861358642578
Our model,1,124.30081176757812
Our model,1,131.29443359375
Our model,1,155.21531677246094
Our model,1,138.1663818359375
Our model,1,121.67847442626953
Our model,1,112.25602722167969
Our model,1,134.23435974121094
Our model,1,127.02020263671875
Our model,1,91.47164154052734
Our model,1,110.1895523071289
Our model,1,144.101806640625
Our model,1,113.39496612548828
Our model,1,167.52174377441406
Our model,1,121.66519165039062
Our model,1,117.40721130371094
Our model,1,153.1363525390625
Our model,1,139.28042602539062
Our model,1,108.06861877441406
Our model,1,136.49940490722656
Our model,1,120.15460968017578
Our model,1,124.38717651367188
Our model,1,137.42369079589844
Our model,1,110.1452407836914
Our model,1,109.32063293457031
Our model,1,131.90231323242188
Our model,1,133.1646728515625
Our model,1,128.14268493652344
Our model,1,108.39433288574219
Our model,1,157.65829467773438
Our model,1,103.25703430175781
Our model,1,153.17274475097656
Our model,1,139.3424072265625
Our model,1,111.11202239990234
Our model,1,124.27059936523438
Our model,1,137.7125701904297
Our model,1,146.7664794921875
Our model,1,112.54949951171875
Our model,1,167.19085693359375
Our model,1,138.14720153808594
Our model,1,110.32963562011719
Our model,1,164.57693481445312
Our model,1,115.8781967163086
Our model,1,145.81640625
Our model,1,128.66384887695312
Our model,1,100.63784790039062
Our model,1,124.10963439941406
Our model,1,110.17789459228516
Our model,1,138.73435974121094
Our model,1,128.84735107421875
Our model,1,169.7086639404297
Our model,1,116.71797180175781
Our model,1,131.78578186035156
Our model,1,125.4727554321289
Our model,1,146.75787353515625
Our model,1,140.48606872558594
Our model,1,114.6636962890625
Our model,1,128.9206085205078
Our model,1,163.86451721191406
Our model,1,110.27727508544922
Our model,1,104.31282806396484
Our model,1,145.0520477294922
Our model,1,153.48538208007812
Our model,1,160.49041748046875
Our model,1,127.86316680908203
Our model,1,236.40892028808594
Our model,1,149.3605194091797
Our model,1,280.8941955566406
Our model,1,120.09004974365234
Our model,1,101.08834075927734
Our model,1,114.8818359375
Our model,1,123.11710357666016
Our model,1,143.78802490234375
Our model,1,165.71343994140625
Our model,1,131.1726531982422
Our model,1,148.4165802001953
Our model,1,140.06655883789062
Our model,1,131.6187286376953
Our model,1,123.53264617919922
Our model,1,153.34576416015625
Our model,1,108.61510467529297
Our model,1,143.513427734375
Our model,1,116.609375
Our model,1,114.6343002319336
Our model,1,99.01765441894531
Our model,1,150.70639038085938
Our model,1,137.98336791992188
Our model,1,128.85995483398438
Our model,1,140.74697875976562
Our model,1,132.8427734375
Our model,1,127.16215515136719
Our model,1,169.76531982421875
Our model,1,134.24459838867188
Our model,1,96.04499816894531
Our model,1,128.4561309814453
Our model,1,86.99177551269531
Our model,1,106.01815795898438
Our model,1,121.15800476074219
Our model,1,132.06861877441406
Our model,1,129.96438598632812
Our model,1,99.78120422363281
Our model,1,109.65690612792969
Our model,1,92.8194580078125
Our model,1,160.33868408203125
Our model,1,186.68458557128906
Our model,1,195.8111114501953
Our model,1,143.45108032226562
Our model,1,123.44861602783203
Our model,1,176.79591369628906
Our model,1,129.2161407470703
Our model,1,122.65829467773438
Our model,1,145.6431427001953
Our model,1,272.3009033203125
Our model,1,119.96903228759766
Our model,1,126.8565673828125
Our model,1,119.15933227539062
Our model,1,289.48565673828125
Our model,1,410.40283203125
Our model,1,128.6646270751953
Our model,1,102.99344635009766
Our model,1,124.6878433227539
Our model,1,559.4166870117188
Our model,1,142.94888305664062
Our model,1,134.70790100097656
Our model,1,157.64842224121094
Our model,1,197.3730926513672
Our model,1,171.9246368408203
Our model,1,96.3697738647461
Our model,1,158.14622497558594
Our model,1,103.08871459960938
Our model,1,160.2939910888672
Our model,1,135.06060791015625
Our model,1,163.1051788330078
Our model,1,128.63873291015625
Our model,1,110.02792358398438
Our model,1,134.3570556640625
Our model,1,140.99026489257812
Our model,1,138.79803466796875
Our model,1,106.51366424560547
Our model,1,159.94972229003906
Our model,1,105.82244873046875
Our model,1,116.98567199707031
Our model,1,138.85186767578125
Our model,1,95.66787719726562
Our model,1,110.66029357910156
Our model,1,118.43042755126953
Our model,1,149.32257080078125
Our model,1,131.93658447265625
Our model,1,131.65380859375
Our model,1,138.99098205566406
Our model,1,131.23947143554688
Our model,1,119.15174865722656
Our model,1,138.28860473632812
Our model,1,101.6313247680664
Our model,1,157.2230682373047
Our model,1,111.25643920898438
Our model,1,91.1159896850586
Our model,1,183.58656311035156
Our model,1,149.8009490966797
Our model,1,147.20164489746094
Our model,1,135.2318878173828
Our model,1,142.48443603515625
Our model,1,133.65057373046875
Our model,1,160.37979125976562
Our model,1,133.26788330078125
Our model,1,95.21903228759766
