PCA plot,Model,series,PC1,PC2,Grid x,Grid y,Node name
Combined,Our model,"grid position (1, 0)",0.08024070864319022,-0.2601914150071165,1,0,
Combined,Our model,"grid position (1, 1)",-0.02069864723308502,0.015295772876566159,1,1,
Combined,Our model,"grid position (1, 2)",-0.19323660738821374,0.18732564080466377,1,2,
Combined,Our model,"grid position (2, 0)",-0.10640357703286044,-0.1852473592658452,2,0,
Combined,Our model,"grid position (2, 1)",-0.12277916463264142,-0.08221421482998097,2,1,
Combined,Our model,"grid position (0, 0)",0.3063261110829048,0.03127172556808622,0,0,
Combined,Our model,"grid position (0, 1)",0.35349179346171705,0.1772699323449106,0,1,
Combined,Our model,"grid position (0, 2)",0.03820929234632638,0.34362901907955495,0,2,
Combined,Our model,"grid position (1, 0)",0.22651214355064017,-0.30459968271335425,1,0,
Combined,Our model,"grid position (1, 1)",0.02275322775080824,0.027215536905365302,1,1,
Combined,Our model,"grid position (1, 2)",-0.15010148934820156,0.18163364617278172,1,2,
Combined,Our model,"grid position (2, 0)",0.024316303181967376,-0.17107316437340503,2,0,
Combined,Our model,"grid position (2, 1)",-0.1329656000774533,-0.013895933421340885,2,1,
Combined,Our model,"grid position (2, 2)",-0.3213022794803336,0.17561636750513565,2,2,
Combined,Our model,"grid position (0, 0)",0.2918503965057913,0.01749867281921384,0,0,
Combined,Our model,"grid position (0, 1)",0.31052157856262547,0.21997904297979673,0,1,
Combined,Our model,"grid position (0, 2)",0.07710388949771464,0.38405152139588655,0,2,
Combined,Our model,"grid position (1, 0)",0.030956025270433278,-0.17163434702340863,1,0,
Combined,Our model,"grid position (1, 1)",0.006657085374948941,0.025968669518245707,1,1,
Combined,Our model,"grid position (1, 2)",-0.20068744206056804,0.22761749491075345,1,2,
Combined,Our model,"grid position (2, 0)",-0.06322986647165114,-0.23300481861378378,2,0,
Combined,Our model,"grid position (2, 1)",0.022479066353370377,-0.18007051326969734,2,1,
Combined,Our model,"grid position (2, 2)",-0.13082574714885534,0.01190318442243997,2,2,
Combined,Our model,"grid position (0, 0)",0.25773207977913026,0.05309448381791517,0,0,
Combined,Our model,"grid position (0, 1)",0.15793662675931333,0.07569719653549296,0,1,
Combined,Our model,"grid position (0, 2)",0.04633671624956801,0.4498515999240109,0,2,
Combined,Our model,"grid position (1, 0)",-0.006584222990481141,-0.1792876228196739,1,0,
Combined,Our model,"grid position (1, 1)",0.06686878941428939,-0.08725298130833214,1,1,
Combined,Our model,"grid position (1, 2)",-0.2366326001769235,0.16962452306384979,1,2,
Combined,Our model,"grid position (2, 0)",-0.09566317974167272,-0.2576929954941323,2,0,
Combined,Our model,"grid position (2, 1)",-0.13914324607265569,-0.09070132574781603,2,1,
Combined,Our model,"grid position (2, 2)",-0.3902798076109632,0.13909485986821438,2,2,
Combined,Our model,"grid position (0, 0)",0.2549496483597277,0.046769970330678,0,0,
Combined,Our model,"grid position (0, 1)",0.18744463595842464,0.16192774370847504,0,1,
Combined,Our model,"grid position (0, 2)",0.021860953451735835,0.4056348090268794,0,2,
Combined,Our model,"grid position (1, 0)",0.10011205656508652,-0.2057210826050128,1,0,
Combined,Our model,"grid position (1, 1)",-0.027598755586211228,0.04047093510856748,1,1,
Combined,Our model,"grid position (1, 2)",-0.24742215703665454,0.2302742151795124,1,2,
Combined,Our model,"grid position (2, 0)",-0.0015196409633572538,-0.22422491853787477,2,0,
Combined,Our model,"grid position (2, 1)",-0.13927878812831332,-0.030488849928036875,2,1,
